,Genotype,Chloramphenicol concentration (ug/mL),Expected initial mutant fraction,Measured initial mutant fraction,Measured initial mutant fraction error,Replicate,Establishment probability,Establishment probability error
279,MG1655,3,0.005,0.002087683,0.001042751,7,0.695659548,0.347466478
280,MG1655,3,0.02,0.027777778,0.027389258,0,0.079198529,0.078090803
281,MG1655,3,0.02,0.027777778,0.027389258,1,0.085458327,0.084263046
282,MG1655,3,0.02,0.027777778,0.027389258,2,0.08923694,0.087988809
283,MG1655,3,0.02,0.027777778,0.027389258,3,,
284,MG1655,3,0.02,0.027777778,0.027389258,4,0.097347786,0.095986211
285,MG1655,3,0.02,0.027777778,0.027389258,5,0.074063883,0.073027973
286,MG1655,3,0.02,0.027777778,0.027389258,6,0.074322203,0.073282681
287,MG1655,3,0.02,0.027777778,0.027389258,7,0.076927084,0.075851127
288,dsbA,0,0.002,0.001923447,0.000607662,0,0.106352283,0.033599183
289,dsbA,0,0.002,0.001923447,0.000607662,1,0,0
290,dsbA,0,0.002,0.001923447,0.000607662,2,0,0
291,dsbA,0,0.002,0.001923447,0.000607662,3,0,0
292,dsbA,0,0.002,0.001923447,0.000607662,4,,
293,dsbA,0,0.002,0.001923447,0.000607662,5,0,0
294,dsbA,0,0.002,0.001923447,0.000607662,6,0,0
295,dsbA,0,0.002,0.001923447,0.000607662,7,0,0
296,dsbA,0,0.005,0.002206964,0.000734842,0,0,0
297,dsbA,0,0.005,0.002206964,0.000734842,1,0,0
298,dsbA,0,0.005,0.002206964,0.000734842,2,0,0
299,dsbA,0,0.005,0.002206964,0.000734842,3,0,0
300,dsbA,0,0.005,0.002206964,0.000734842,4,0,0
301,dsbA,0,0.005,0.002206964,0.000734842,5,0.076185926,0.025367271
302,dsbA,0,0.005,0.002206964,0.000734842,6,0,0
303,dsbA,0,0.005,0.002206964,0.000734842,7,0,0
304,dsbA,0,0.02,0.013765678,0.002037893,0,0,0
305,dsbA,0,0.02,0.013765678,0.002037893,1,0.011548734,0.001709693
306,dsbA,0,0.02,0.013765678,0.002037893,2,0.009866979,0.001460723
307,dsbA,0,0.02,0.013765678,0.002037893,3,0,0
308,dsbA,0,0.02,0.013765678,0.002037893,4,0.018534471,0.002743873
309,dsbA,0,0.02,0.013765678,0.002037893,5,0.00953859,0.001412108
310,dsbA,0,0.02,0.013765678,0.002037893,6,0,0
311,dsbA,0,0.02,0.013765678,0.002037893,7,0.009748485,0.001443181
312,dsbA,1,0.002,0.001923447,0.000607662,0,0,0
313,dsbA,1,0.002,0.001923447,0.000607662,1,0,0
314,dsbA,1,0.002,0.001923447,0.000607662,2,0,0
315,dsbA,1,0.002,0.001923447,0.000607662,3,0,0
316,dsbA,1,0.002,0.001923447,0.000607662,4,,
317,dsbA,1,0.002,0.001923447,0.000607662,5,0,0
318,dsbA,1,0.002,0.001923447,0.000607662,6,0.092041308,0.02907801
319,dsbA,1,0.002,0.001923447,0.000607662,7,0,0
320,dsbA,1,0.005,0.002206964,0.000734842,0,0.307830573,0.102496905
321,dsbA,1,0.005,0.002206964,0.000734842,1,0.076578763,0.025498072
322,dsbA,1,0.005,0.002206964,0.000734842,2,0.144783509,0.048207887
323,dsbA,1,0.005,0.002206964,0.000734842,3,0.158754872,0.052859866
324,dsbA,1,0.005,0.002206964,0.000734842,4,0.164779786,0.054865954
325,dsbA,1,0.005,0.002206964,0.000734842,5,0.228557779,0.076101814
326,dsbA,1,0.005,0.002206964,0.000734842,6,0,0
327,dsbA,1,0.005,0.002206964,0.000734842,7,0,0
328,dsbA,1,0.02,0.013765678,0.002037893,0,0.009671659,0.001431808
329,dsbA,1,0.02,0.013765678,0.002037893,1,0.023097468,0.003419386
330,dsbA,1,0.02,0.013765678,0.002037893,2,0.049334894,0.007303617
331,dsbA,1,0.02,0.013765678,0.002037893,3,0.029600937,0.00438217
332,dsbA,1,0.02,0.013765678,0.002037893,4,0.009267235,0.001371936
333,dsbA,1,0.02,0.013765678,0.002037893,5,0.02861577,0.004236325
334,dsbA,1,0.02,0.013765678,0.002037893,6,0.018819143,0.002786016
335,dsbA,1,0.02,0.013765678,0.002037893,7,0.01949697,0.002886363
336,dsbA,2,0.002,0.001923447,0.000607662,0,0.531761415,0.167995917
337,dsbA,2,0.002,0.001923447,0.000607662,1,0.194332668,0.061394253
338,dsbA,2,0.002,0.001923447,0.000607662,2,0.192737205,0.060890209
339,dsbA,2,0.002,0.001923447,0.000607662,3,0.579731659,0.183150844
